file_name,Text,Text_pure,Img_url,Position
RADComplete_July2008,"# RULES FOR ARCHIVAL

# DESCRIPTION

Copies of this publication in English or French may be obtained from:

Bureau of Canadian Archivists

Canadian Committee on Archival Description

c/o Canadian Council of Archives

130 Albert Street, Suite 501

Ottawa, Ontario

K1P 5G4","# RULES FOR ARCHIVAL

# DESCRIPTION

Copies of this publication in English or French may be obtained from:

Bureau of Canadian Archivists

Canadian Committee on Archival Description

c/o Canadian Council of Archives

130 Albert Street, Suite 501

Ottawa, Ontario

K1P 5G4",,RADComplete_July2008
RADComplete_July2008,"Produced in cooperation with the Canadian Council of Archives and with the financial assistance of the National Archives of Canada.

# RULES FOR ARCHIVAL DESCRIPTION

Prepared under the direction of the

PLANNING COMMITTEE ON DESCRIPTIVE STANDARDS

a committee of the Bureau of Canadian Archivists, representing:","Produced in cooperation with the Canadian Council of Archives and with the financial assistance of the National Archives of Canada.

# RULES FOR ARCHIVAL DESCRIPTION

Prepared under the direction of the

PLANNING COMMITTEE ON DESCRIPTIVE STANDARDS

a committee of the Bureau of Canadian Archivists, representing:",,RADComplete_July2008 > # DESCRIPTION
RADComplete_July2008,"L'Association des archivistes du Québec

The Association of Canadian Archivists

Bureau of Canadian Archivists

Ottawa, Canada

1990

Copyright 1990 by the Bureau of Canadian Archivists

Canadian Cataloguing in Publication Data

Main entry under title: Rules for archival description

ISBN 0-9690797-3-7","L'Association des archivistes du Québec

The Association of Canadian Archivists

Bureau of Canadian Archivists

Ottawa, Canada

1990

Copyright 1990 by the Bureau of Canadian Archivists

Canadian Cataloguing in Publication Data

Main entry under title: Rules for archival description

ISBN 0-9690797-3-7",,RADComplete_July2008 > # RULES FOR ARCHIVAL DESCRIPTION (part 1)
RADComplete_July2008,"1. Cataloging of archival material. 2. Descriptive cataloging. I. Bureau of Canadian Archivists. Planning Committee on Descriptive Standards

Z695.2.R84 1990 025.3'414 C90-090354-6","1. Cataloging of archival material. 2. Descriptive cataloging. I. Bureau of Canadian Archivists. Planning Committee on Descriptive Standards

Z695.2.R84 1990 025.3'414 C90-090354-6",,RADComplete_July2008 > # RULES FOR ARCHIVAL DESCRIPTION (part 2)
RADComplete_July2008,"The Canadian Library Association has generously given permission to reprint excerpts from Anglo-American Cataloguing Rules, 2d ed., 1988 revision; copyright 1988, Canadian Library Association.

# CONTENTS

Committees and Working Groups vi

Foreword xii

Preface to the 2008 Revision xiii

Preface to the 1990 Edition xv","The Canadian Library Association has generously given permission to reprint excerpts from Anglo-American Cataloguing Rules, 2d ed., 1988 revision; copyright 1988, Canadian Library Association.

# CONTENTS

Committees and Working Groups vi

Foreword xii

Preface to the 2008 Revision xiii

Preface to the 1990 Edition xv",,RADComplete_July2008 > # RULES FOR ARCHIVAL DESCRIPTION > 1. Cataloging of archival material. 2. Descriptive cataloging. I. Bureau of Canadian Archivists. Planning Committee on Descriptive Standards
RADComplete_July2008,"Statement of Principles xxii

General Introduction 0-1

# PART I

# Description

# Introduction1 General Rules for Description   
2 Rules for Description of Units Consisting of Multiple Media   
3 Textual Records   
4 Graphic Materials   
5 Cartographic Materials   
6 Architectural and Technical Drawings   
7 Moving Images   
8 Sound Recordings   
9 Records in Electronic Form   
10 Records on Microform   
11 Objects","Statement of Principles xxii

General Introduction 0-1

# PART I

# Description

# Introduction1 General Rules for Description   
2 Rules for Description of Units Consisting of Multiple Media   
3 Textual Records   
4 Graphic Materials   
5 Cartographic Materials   
6 Architectural and Technical Drawings   
7 Moving Images   
8 Sound Recordings   
9 Records in Electronic Form   
10 Records on Microform   
11 Objects",,RADComplete_July2008 > # CONTENTS
RADComplete_July2008,"12 Philatelic Records   
13 Discrete Items# PART II

# Headings and References

# Introduction

21 Choice of Access Points   
22 Headings for Persons   
23 Geographic Names   
24 Headings for Corporate Bodies

# Appendices

A Capitalization   
B Abbreviations   
C Numerals   
D Glossary

# COMMITTEES AND WORKING GROUPS

# BUREAU OF CANADIAN ARCHIVISTS","12 Philatelic Records   
13 Discrete Items# PART II

# Headings and References

# Introduction

21 Choice of Access Points   
22 Headings for Persons   
23 Geographic Names   
24 Headings for Corporate Bodies

# Appendices

A Capitalization   
B Abbreviations   
C Numerals   
D Glossary

# COMMITTEES AND WORKING GROUPS

# BUREAU OF CANADIAN ARCHIVISTS",,RADComplete_July2008 > # Introduction1 General Rules for Description
RADComplete_July2008,"# PLANNING COMMITTEE ON DESCRIPTIVE STANDARDS

Chair

HAWORTH, Kent M. (1989-1996)

DRYDEN, Jean E. (1986-1989)

# ASSOCIATION DES ARCHIVISTES DU QUÉBEC

Representatives

SAULNIER, Carole (1991-1996)

GAGNON-ARGUIN, Louise (1990-1996)

GARON, Louis (1988-1996)

CHABOT, Victorin (1986-1988)

# ASSOCIATION OF CANADIAN ARCHIVISTS

Representatives","# PLANNING COMMITTEE ON DESCRIPTIVE STANDARDS

Chair

HAWORTH, Kent M. (1989-1996)

DRYDEN, Jean E. (1986-1989)

# ASSOCIATION DES ARCHIVISTES DU QUÉBEC

Representatives

SAULNIER, Carole (1991-1996)

GAGNON-ARGUIN, Louise (1990-1996)

GARON, Louis (1988-1996)

CHABOT, Victorin (1986-1988)

# ASSOCIATION OF CANADIAN ARCHIVISTS

Representatives",,RADComplete_July2008 > # BUREAU OF CANADIAN ARCHIVISTS
RADComplete_July2008,"EASTWOOD, Terry (1990-1996)

DUFF, Wendy (1989-1996)

HAWORTH, Kent M. (1986-1996)

DRYDEN, Jean E. (1986-1989)

Project Coordinator

MINIGGIO, Mirielle (1991-1996)

MACNEIL, Heather (1989-1991)

Project Officers

MINIGGIO, Mirielle (1989-1991)

MACNEIL, Heather (1988-1989)

BEATTIE, Diane P. (1987-1988)

# NATIONAL ARCHIVES OF CANADA

Observer","EASTWOOD, Terry (1990-1996)

DUFF, Wendy (1989-1996)

HAWORTH, Kent M. (1986-1996)

DRYDEN, Jean E. (1986-1989)

Project Coordinator

MINIGGIO, Mirielle (1991-1996)

MACNEIL, Heather (1989-1991)

Project Officers

MINIGGIO, Mirielle (1989-1991)

MACNEIL, Heather (1988-1989)

BEATTIE, Diane P. (1987-1988)

# NATIONAL ARCHIVES OF CANADA

Observer",,RADComplete_July2008 > # ASSOCIATION OF CANADIAN ARCHIVISTS
RADComplete_July2008,"STIBBE, Hugo L.P. (1986-1996)

# COMMITTEES AND WORKING GROUPS

# PLANNING COMMITTEE ON DESCRIPTIVE STANDARDS

# WORKING GROUPS

# WORKING GROUP ON DESCRIPTION AT THE FONDS LEVEL

REIMER, Derek (1987-1988)

CHOUINARD, Denys (1987-1988)

DAVISON, J. Robert (1987-1988)

GARANT, Jean-Marc (1987-1988)

GAVREL, Katherine (1987-1988)","STIBBE, Hugo L.P. (1986-1996)

# COMMITTEES AND WORKING GROUPS

# PLANNING COMMITTEE ON DESCRIPTIVE STANDARDS

# WORKING GROUPS

# WORKING GROUP ON DESCRIPTION AT THE FONDS LEVEL

REIMER, Derek (1987-1988)

CHOUINARD, Denys (1987-1988)

DAVISON, J. Robert (1987-1988)

GARANT, Jean-Marc (1987-1988)

GAVREL, Katherine (1987-1988)",,RADComplete_July2008 > # NATIONAL ARCHIVES OF CANADA
